OrderNumber,WarehouseStatus,CustOrderNum,ItemNumber,Warehouse,OrderQty,ShippedQty,CancelQty
S8288895,Accepted,#24083288,W7066R018581,AS,1,0,0
S8288895,Accepted,#24083288,W9557R038422,AS,1,0,0
S8288895,Accepted,#24083288,W2675RG00012,AS,1,0,0
S8288895,Accepted,#24083288,W6334R038421,AS,1,0,0
S8288901,Accepted,#24083291,W7066R018581,AS,1,0,0
S8288901,Accepted,#24083291,A0191M038424,AS,1,0,0
S8288901,Accepted,#24083291,M2033R046723,AS,1,0,0
S8288901,Accepted,#24083291,M1257R046723,AS,1,0,0
S8288901,Accepted,#24083291,A0191M038423,AS,1,0,0
S8288924,Waved,#24083296,W54187R038423,AS,1,0,0
S8288928,Waved,#24083297,W6290R038424,AS,1,0,0
S8288928,Waved,#24083297,U3032RG038424,AS,1,0,0
S8288928,Waved,#24083297,W6543R004,AS,1,0,0
S8288928,Waved,#24083297,W2675RG054873,AS,1,0,0
V8288933,accepted,#24083300,W7066R018581,AV,1,0,0
V8288933,accepted,#24083300,A0590U05442080,AV,1,0,0
V8288933,accepted,#24083300,A0690U054422,AV,1,0,0
V8288933,accepted,#24083300,A0480U054872,AV,1,0,0
S8288956,Waved,#24083310,W8278R01002,AS,1,0,0
S8288967,Waved,#24083313,W6472RG054422,AS,1,0,0
S8289017,Accepted,#24083322,W7066R018581,AS,1,0,0
S8289017,Accepted,#24083322,W4423R013,AS,1,0,0
S8289024,Waved,#24083328,W6519R01003,AS,1,0,0
S8289036,Manifested,#24083331,A0480U055063,AS,1,0,0
S8289036,Manifested,#24083331,U3031RG054422,AS,1,0,0
S8289035,Waved,#24083332,W6240R002,AS,1,0,0
S8289039,Accepted,#24083334,A0467U011,AS,1,0,0
S8289039,Accepted,#24083334,W2675RG00011,AS,1,0,0
S8289056,Picking,#24083342,W51432R011,AS,1,0,0
S8289056,Picking,#24083342,W9780R050133,AS,1,0,0
S8289056,Picking,#24083342,W9780R048863,AS,1,0,0
V8289153,accepted,EXCHL-23992919-1,W51432R012,AV,1,0,0
S8289057,Accepted,#24083344,A0480U063322,AS,1,0,0
S8289057,Accepted,#24083344,W2675RG01001,AS,1,0,0
S8289059,Accepted,#24083345,M6154R013,AS,1,0,0
S8289059,Accepted,#24083345,M3199R038423,AS,1,0,0
S8289059,Accepted,#24083345,M3199R013,AS,1,0,0
S8289059,Accepted,#24083345,M6154R038423,AS,1,0,0
S8289092,Waved,#24083349,W3852R011,AS,1,0,0
S8289092,Waved,#24083349,W5766R044810,AS,1,0,0
S8289092,Waved,#24083349,W9760R032991,AS,1,0,0
S8289092,Waved,#24083349,W9760R011,AS,1,0,0
S8289092,Waved,#24083349,W9760R044811,AS,1,0,0
S8289092,Waved,#24083349,A0769W044811,AS,1,0,0
S8289092,Waved,#24083349,A0769W032991,AS,1,0,0
S8289092,Waved,#24083349,A0769W011,AS,1,0,0
S8289092,Waved,#24083349,W9557R010,AS,1,0,0
S8289092,Waved,#24083349,W8278R056170,AS,1,0,0
S8289092,Waved,#24083349,W9351RG00010,AS,1,0,0
S8289092,Waved,#24083349,W9351RG01000,AS,1,0,0
S8289092,Waved,#24083349,W3914R061321,AS,1,0,0
S8289092,Waved,#24083349,W3914R011,AS,1,0,0
S8289092,Waved,#24083349,W9609R000,AS,1,0,0
S8289092,Waved,#24083349,W9609R010,AS,1,0,0
S8289092,Waved,#24083349,W51150R010,AS,2,0,0
WT289092,Invoiced,#24083349,A0648U01011,AYS033,1,1,0
S8289081,Manifested,#24083350,A0480U053843,AS,1,0,0
S8289081,Manifested,#24083350,W6334R011,AS,1,0,0
S8289073,Waved,#24083352,A0613U011,AS,1,0,0
CHM89069,Accepted,#24083351,W6453R014073,AYS110,1,0,0
S8289085,Picking,#24083356,W6472RG044813,AS,1,0,0
S8289085,Picking,#24083356,W3732R044812,AS,1,0,0
S8289107,Waved,#24083363,M6155R021253,AS,1,0,0
S8289107,Waved,#24083363,M1257R038423,AS,1,0,0
S8289107,Waved,#24083363,M1257R014,AS,1,0,0
S8289107,Waved,#24083363,M6169R004,AS,1,0,0
D8289108,Invoiced,#24083361,W6334R012,AM,1,1,0
D8289108,Invoiced,#24083361,W6543R012,AM,1,1,0
D8289108,Invoiced,#24083361,W6543R011,AM,1,1,0
D8289108,Invoiced,#24083361,W6334R011,AM,1,1,0
S8289101,Accepted,#24083362,A0480U00012,AS,1,0,0
S8289101,Accepted,#24083362,W9351RG01001,AS,1,0,0
IP289111,Accepted,#24083367,W8277R055062,AYS039,1,0,0
S8289109,Accepted,#24083366,W51432R013,AS,1,0,0
V8289097,Invoiced,#24083368,GCSHOPIFY,AV,1,1,0
V8289097,Invoiced,#24083368,GCSHOPIFY,AV,1,1,0
S8289126,Accepted,#24083372,W7066R018581,AS,1,0,0
S8289126,Accepted,#24083372,M3199R038423,AS,1,0,0
S8289126,Accepted,#24083372,M1228R038423,AS,1,0,0
S8289126,Accepted,#24083372,M6154R038423,AS,1,0,0
S8289125,Waved,#24083373,A0467U011,AS,1,0,0
V8289129,accepted,#24083376,W51432R012,AV,1,0,0
S8289139,Picking,#24083379,W8322R012,AS,1,0,0
S8289139,Picking,#24083379,B2006FR000195ML,AS,2,0,0
S8289139,Picking,#24083379,W9760R012,AS,1,0,0
S8289139,Picking,#24083379,W9760R044812,AS,1,0,0
S8289139,Picking,#24083379,W9760R054422,AS,1,0,0
S8289139,Picking,#24083379,W51432R044811,AS,1,0,0
S8289139,Picking,#24083379,W51432R038421,AS,1,0,0
S8289139,Picking,#24083379,W51432R011,AS,1,0,0
S8289139,Picking,#24083379,W2763R011,AS,1,0,0
S8289139,Picking,#24083379,W2763R032991,AS,1,0,0
WL289139,Accepted,#24083379,W2763R054421,AYS075,1,0,0
S8289135,Accepted,#24083380,A0590U05817040,AS,1,0,0
V8289143,,#24083384,A0684U001,AV,2,0,0
V8289143,,#24083384,W4602R001,AV,1,0,0
V8289143,,#24083384,W6323R001,AV,1,0,0
S8289143,,#24083384,W6289R001,AS,1,0,0
S8289143,,#24083384,W9730R003,AS,1,0,0
S8289143,,#24083384,W54187R012,AS,1,0,0
S8289143,,#24083384,W54187R010,AS,2,0,0
V8289169,accepted,#24083386,W3905R060271,AV,1,0,0
S8289325,Waved,EXCHL-23934956-1,W9351RG01004,AS,1,0,0
V8289150,accepted,#24083389,W6240R011,AV,1,0,0
V8289150,accepted,#24083389,W9730R063261,AV,1,0,0
V8289150,accepted,#24083389,W6427R063321,AV,1,0,0
S8289174,,#24083390,W3859R013,AS,1,0,0
S8289174,,#24083390,W54211R013,AS,1,0,0
S8289174,,#24083390,W7066R018581,AS,1,0,0
V8289195,accepted,#24083392,W2757R001,AV,1,0,0
S8289195,Waved,#24083392,N7011F00012OZ,AS,1,0,0
S8289195,Waved,#24083392,B2012FCA000195ML,AS,1,0,0
V8289195,accepted,#24083392,M1205R061112,AV,1,0,0
S8289195,Waved,#24083392,M1205R054422,AS,1,0,0
S8289191,Waved,#24083394,W6334R038423,AS,1,0,0
RF289198,Accepted,#24083396,U5012RG054422,AYS093,1,0,0
S8289205,Waved,#24083397,W51432R044810,AS,1,0,0
S8289223,Accepted,#24083400,W3732R048314,AS,1,0,0
